Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Box Clutch  - AZMDL001,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL002,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL003,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL004,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL005,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL006,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL007,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL008,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL009,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL010,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL011,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL012,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL013,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL014,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL015,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL016,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL017,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL018,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL019,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL020,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL021,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC001,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC002,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC003,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC004,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC005,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC006,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC007,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC008,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC009,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC010,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC011,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC012,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC013,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC014,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC015,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL001,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL002,,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL003,,,0,50,0,,950,G,No,,10,Women's Accessories
