Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
D1 Vintage Bicycle Handmade Handicraft Diary ( Hot Pink ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D2 Wonderful world Print Special Binding With Lock ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D3 Leather Handmade Paper Handcrafted Regular Diary ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D5 Handicraft Be Kind Special Binding Diary with Elastic ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D7 Handicraft Leather Diary With Pen ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D8 Bird Print Special Binding with Lock Handmade Paper ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D9 Leather Emboss with Flap and Button Handcrafted Regular Diary ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D11 Bird Print Special Binding with Lock Handmade Paper ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D12 Handicraft Tree Print Wiro Binding Notebook With Lock. ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D13 Handicraft Emboss Diary with Lock Leather ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D15 Binding Journey Print Diary with Button ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D16 Handicraft Confession Emboss Leather Diary With Lock ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D18 Beautiful Print Special Binding with Button ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D19 Scooter Print Special Binding with Button ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D21 Handicraft Leather Fly Away Emboss With Lock Notebook ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D22 Vintage Owl Print ( Camel ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D23 Finished Leather with Key Notepads ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D24 Butterfly Leather Emboss with Lock Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D25 Horse Post Card Cross Diary with C-lock ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D26 Antique Bird in Old Stamp Print Diary (Notebook) with C -lock ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D27 Leather Diary with Tree of Life Embossed ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D28 Diary in One Love One Heart (Bob Marley) ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D29 Compass Embossed on Leather with Button Lock Notepads ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D30 Leather Feather Embossed Diary with C-Lock ( Forest Green ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D31 You were Born Original with Elastic Notepads ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D32 Diary in Bob Marley Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D33 Antique Feather Embossed Diary with C-lock ( Camel ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D34 Laundry Diary ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D35 Diary in Vintage Peacock Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D36 Antique Diary with Antique Pen Lock Pattern ( Camel ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D37 Star Embossed Diary with C-lock ( Taupe ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D38 Eagle Print with Leather Binding Notepads ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D39 Owl Embossed on Leather Journal with C Lock Notepads ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D40 Leather Cover Buddha Print Writing Book ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D41 Finished Leather Journal with Artificial Pen Notepads ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D42 Leather Embossed Journal with Artificial Pen Notepads ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D43 Leaf Print Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D44 Classic Bike Diary with C -lock ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D45 Horse Print Diary with Button ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D46 Spiritual Print Diary ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D47 Leather Diary with Pocket ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D48 Leather Embossed with C-Lock ( Bottle Green ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D49 Leather Buddha Embossed Diary ( Camel ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D50 Diary in Smiley Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D51 Diary in Choose Your Path Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D52 Diary with Vintage Cars Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D53 Leather Diary with C-Lock ( Neon Green ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D54 Taj Mahal Print Diary with Button ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D55 Two Birds with Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D56 Leather Diary in with Tick Button ( Maroon ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D57 Diary in Water on Leaf Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D58 Diary in Wool Print ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D59 God Print Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D60 Antique Tiger Print in Cross Diary with C-lock ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D61 Leather Diary with Elephant Print ( Maroon ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D62 Sunflower with butterfly Diary ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D63 Two Lady Print Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D64 Elephant Print Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D65 Gramophone with Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D66 Good morning Diary ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D67 Urban lady print Diary ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D68 Flower Leather Diary with Pen ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D69 Leather with Mantra Notebook ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D70 Musical Bird with Special Binding Notebook ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D71 Camel Embossed Dairy with C-lock ( Camel ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D72 Soft Leather with C- Lock Notebook ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D73 All Our Dreams Cross Diary with C -lock ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D75 Leather Diary with C-Lock ( Forest Green ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D76 Leather Elephant Notebook ( Wine Red ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D77 Vintage Print with Antique Page Handmade Paper ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D78 Old Fossils Emboss Leather Notebook With Lock ( Taupe ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D79 Peacock Leather Emboss with Lock and Antique Page ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D80 Ride More Worry Less Emboss Leather with Lock ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D81 Leather With Belt Diary ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D82 Handicraft Leather Diary With Lock ( Yellow ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D83 Leather With Lock Handmade Diary ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D84 Maharaja Print Special Binding with Lock ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D85 Old Account Elephant Journal Diary ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D87 Handicraft Leather Diary With Lock ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D88 Handmade Lather Diary ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D89 Handmade Leather Diary ( Brown ),,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
