Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Decorative Hangings-DI 001 ( Multi Coloured ),,,0,50,0,,400,G,No,,10,Decorative & Gift Items
Decorative Hangings-DI 002 ( Multi Coloured ),,,0,50,0,,400,G,No,,10,Decorative & Gift Items
Decorative Hangings-DI 003 ( Multi Coloured ),,,0,50,0,,350,G,No,,10,Decorative & Gift Items
Decorative Hangings-DI 004 ( Multi Coloured ),,,0,50,0,,350,G,No,,10,Decorative & Gift Items
CH - APPAM PATRA 12 cavities ( Black ),,,0,50,0,,800,G,No,,10,Kitchen & Home Appliances
CH - BLACK BERRY CASSEROLE 2000 ( Off White ),,,0,50,0,,1500,G,No,,10,Kitchen & Home Appliances
CH - BM CONT.BROWNIE 600 2P SET ( Brown ),,,0,50,0,,450,G,No,,10,Kitchen & Home Appliances
CH - CLEVER CUTTER ( Black ),,,0,50,0,,200,G,No,,10,Kitchen & Home Appliances
CH - DEEP KADAI WITH LID -12-2.6 MM-2 LTR ( Red ),,,0,50,0,,1550,G,No,,10,Kitchen & Home Appliances
CH - EXTREME FRUIT & VEGETABLE JUICER ( Baby Blue ),,,0,50,0,,2200,G,No,,10,Kitchen & Home Appliances
CH - FASHION BASKET H 1 WITH LID ( Taupe ),,,0,50,0,,1250,G,No,,10,Kitchen & Home Appliances
CH - GARBAGE BAG 19X21x3(90PCS) PK - 144 ( Black ) CH - GARBAGE BAG 24x32x2(30 PCS) PK - 108 ( Black ),,,0,50,0,,450,G,No,,10,Kitchen & Home Appliances
CH - GARBAGE BAG 24x32x2(30 PCS) PK - 108,,,0,50,0,,450,G,No,,10,Kitchen & Home Appliances
CH - GIFT SET JIO MIDI SET - 3 ( Taupe ),,,0,50,0,,2700,G,No,,10,Kitchen & Home Appliances
CH - HOT TIFFIN DLX - 3 ( Grey ),,,0,50,0,,2100,G,No,,10,Kitchen & Home Appliances
CH - IDLI COOKER MARVEL - 4 ( Off White ),,,0,50,0,,2300,G,No,,10,Kitchen & Home Appliances
CH - INSULATED ADJUSTABLE TIFFIN ENJOY - 2 ( Red ),,,0,50,0,,450,G,No,,10,Kitchen & Home Appliances
CH - INSULATED ADJUSTABLE TIFFIN FUEL JR - 1 ( Neon Green ),,,0,50,0,,350,G,No,,10,Kitchen & Home Appliances
CH - INSULATED FLASK GALAXY - 1200 ( Brown ),,,0,50,0,,1200,G,No,,10,Kitchen & Home Appliances
