Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Collage Bag PC140 Blue,,"Made Of Soft Polyester, 2 Compartments, Pen Pocket, Back Strap, College, Tuition, Travel Use, Rain Cover, With 1 Year Warranty.",549,50,,,2.5,,,,50,Bags
Collage Bag PC140 Black,,"Made Of Soft Polyester, 2 Compartments, Pen Pocket, Back Strap, College, Tuition, Travel Use, Rain Cover, With 1 Year Warranty.",549,50,,,2.5,,,,50,Bags
Collage Bag PC140 Gray,,"Made Of Soft Polyester, 2 Compartments, Pen Pocket, Back Strap, College, Tuition, Travel Use, Rain Cover, With 1 Year Warranty.",549,50,,,2.5,,,,50,Bags
Multipurpose Bag Pc MMB0044 Purple,,"Made Of Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Rain Cover, Multipurpose Use With 1 Year Warranty",749,50,,,3.55,,,,50,Bags
Multipurpose Bag Pc MMB0044 Gray,,"Made Of Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Rain Cover, Multipurpose Use With 1 Year Warranty",749,50,,,3.55,,,,50,Bags
Multipurpose Bag Pc MMB0044 Blue,,"Made Of Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Rain Cover, Multipurpose Use With 1 Year Warranty",749,50,,,3.55,,,,50,Bags
Multipurpose Bag Pc MMB0044 Navy Blue,,"Made Of Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Rain Cover, Multipurpose Use With 1 Year Warranty",749,50,,,3.55,,,,50,Bags
Multipurpose Bag Pc MMB0050 Blue,,"Made Of Twile Soft Polyester, 5 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.55,,,,50,Bags
Multipurpose Bag Pc MMB0050 Navy Blue,,"Made Of Twile Soft Polyester, 5 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0050 Black,,"Made Of Twile Soft Polyester, 5 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0050 Gray,,"Made Of Twile Soft Polyester, 5 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0050 Rad,,"Made Of Twile Soft Polyester, 5 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0050 Pink,,"Made Of Twile Soft Polyester, 5 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0053 Blue,,"Made Of Soft Polyester, 4 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0053 Black,,"Made Of Soft Polyester, 4 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0053 Gray,,"Made Of Soft Polyester, 4 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0053 Rad,,"Made Of Soft Polyester, 4 Compartments, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0054 Black,,"Made Of 1000 D Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0054 Gray,,"Made Of 1000 D Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0054 Rad,,"Made Of 1000 D Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Multipurpose Bag Pc MMB0054 Blue,,"Made Of 1000 D Soft Polyester, 4 Compartments, Pan Pocket, Back Strap, Multipurpose Bag, Rain Cover With 1 Year Warranty",799,50,,,3.2,,,,50,Bags
Office Bag-Pc MMB0009 Black,,"Made Of 1000 D Polyester, 5 Compartments, Handle Shoulder And Back Strap, Office Use, With 1 Year Warranty",749,50,,,1.18,,,,50,Bags
School Bag Pc MMB0022 Blue,,"Made Of Soft Polyester, 3 Compartments, Back Strap, School, College, Tuition Use With 1 Year Warranty",399,50,,,1.28,,,,50,Bags
School Bag Pc MMB0022 Black,,"Made Of Soft Polyester, 3 Compartments, Back Strap, School, College, Tuition Use With 1 Year Warranty",399,50,,,1.28,,,,50,Bags
School Bag Pc MMB0022 Green,,"Made Of Soft Polyester, 3 Compartments, Back Strap, School, College, Tuition Use With 1 Year Warranty",399,50,,,1.28,,,,50,Bags
School Bag Pc MMB0022 Rad,,"Made Of Soft Polyester, 3 Compartments, Back Strap, School, College, Tuition Use With 1 Year Warranty",399,50,,,1.28,,,,50,Bags
School Bag Pc MMB0028 Orange,,"Made Of 1000 D Soft Polyester, 3 Compartments, Back Strap, School, College, Tuition Use with 1 Year Warranty",449,50,,,1.9,,,,50,Bags
School Bag Pc MMB0028 Rad,,"Made Of 1000 D Soft Polyester, 3 Compartments, Back Strap, School, College, Tuition Use with 1 Year Warranty",449,50,,,1.9,,,,50,Bags
