Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Box Clutch  - AZMDL001,1207,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL002,1208,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL003,1209,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL004,1210,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL005,1211,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL006,1212,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL007,1213,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL008,1214,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL009,1215,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL010,1216,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL011,1217,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL012,1218,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL013,1219,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL014,1220,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL015,1221,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL016,1222,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL017,1223,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL018,1224,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL019,1225,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL020,1226,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch  - AZMDL021,1227,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC001,1228,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC002,1229,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC003,1230,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC004,1231,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC005,1232,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC006,1233,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC007,1234,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC008,1235,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC009,1236,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC010,1237,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC011,1238,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC012,1239,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC013,1240,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC014,1241,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBC015,1242,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL001,1243,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL002,1244,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL003,1245,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL004,1246,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL005,1247,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL006,1248,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL007,1249,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL008,1250,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL009,1251,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL010,1252,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL011,1253,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZBCL012,1254,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS001,1255,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS002,1256,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS003,1257,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS004,1258,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS005,1259,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS006,1260,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS007,1261,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS008,1262,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS009,1263,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS010,1264,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS011,1265,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS012,1266,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS013,1267,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS014,1268,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS015,1269,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS016,1270,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS017,1271,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS018,1272,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS019,1273,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS020,1274,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS021,1275,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS022,1276,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS023,1277,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS024,1278,,0,50,0,,950,G,No,,10,Women's Accessories
Box Clutch - AZMDS025,1279,,0,50,0,,950,G,No,,10,Women's Accessories
Shades Cover AZSH001,1280,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH002,1281,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH003,1282,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH004,1283,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH005,1284,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH006,1285,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH007,1286,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH008,1287,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH009,1288,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH010,1289,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH011,1290,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH012,1291,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH013,1292,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH014,1293,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH015,1294,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH016,1295,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH017,1296,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH018,1297,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH019,1298,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH020,1299,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH021,1300,,0,50,0,,400,G,No,,10,Women's Accessories
Shades Cover AZSH022,1301,,0,50,0,,400,G,No,,10,Women's Accessories
