Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Kantha work Bed Sheet - PLKW 1201,3642,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1202,3643,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1203,3644,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1204,3645,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1205,3646,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1206,3647,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1207,3648,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1208,3649,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1209,3650,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1210,3651,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1211,3652,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1212,3653,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1213,3654,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1214,3655,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1215,3656,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1216,3657,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1217,3658,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1218,3659,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1219,3660,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1220,3661,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1221,3662,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1222,3663,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1223,3664,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Kantha work Bed Sheet - PLKW 1224,3665,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1401 Black,3666,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1401 Navy Blue,3667,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1401 Silver Black,3668,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1402 Black,3669,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1402 Navy Blue,3670,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1402 Silver Black,3671,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1403 Black,3672,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1403 Navy Blue,3673,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1403 Silver Black,3674,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1404 Black,3675,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1404 Navy Blue,3676,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
Silver Gold Bed Sheet - PLSG 1404 Silver Black,3677,"King size bed sheets with 2 pillow covers,100 % Cotton Fabric, 90 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:17 inches by 27 inches, (chain pillow )",649,50,0,,1.15,KG,,,50,Bed Sheets
