Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Sanganeri Print - SP 1624   Taupe,3433,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1624   Grey,3434,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1624   Brown,3435,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1623 Taupe,3436,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1623 Grey,3437,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1623 Brown,3438,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1622 Taupe,3439,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1622 Grey,3440,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1622 Brown,3441,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1621 Taupe,3442,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1621 Grey,3443,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1621 Brown,3444,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1620 Taupe,3445,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1620 Grey,3446,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1620 Brown,3447,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1619 Taupe,3448,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1619 Grey,3449,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1619 Brown,3450,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1618 Taupe,3451,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1618 Grey,3452,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1618 Pink,3453,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
Sanganeri Print - SP 1617 Taupe,3454,"Super King size Bed sheets (UNIQUE) with 2 pillow covers, Thread count - 56/60 fabric,100 % Cotton Fabric, 100 inches by 108 inches ( Bed sheet sides stitched ) Pillow size:43 cm X 69 cm,18 inches by 27 inches, (chain pillow )",749,50,0,,1.15,KG,,,50,Bed Sheets
