Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
Collage Bag PC140,,,0,50,0,,0.4,KG,No,,10,Bags
Multipurpose Bag Pc MMB0044,,,0,50,0,,0.4,KG,No,,10,Bags
Multipurpose Bag Pc MMB0050,,,0,50,0,,0.4,KG,No,,10,Bags
Multipurpose Bag Pc MMB0053,,,0,50,0,,0.4,KG,No,,10,Bags
Multipurpose Bag Pc MMB0054,,,0,50,0,,0.4,KG,No,,10,Bags
Office Bag-Pc MMB0009 ,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag Pc MMB0022,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag Pc MMB0028,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag Pc MMB0038,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag Pc MMB0039 ,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag Pc MMB0040,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag PC137 Army Look,,,0,50,0,,0.4,KG,No,,10,Bags
School Bag-Pc 4025 ,,,0,50,0,,0.4,KG,No,,10,Bags
Side Bag Pc MMB0046,,,0,50,0,,0.4,KG,No,,10,Bags
Sports Bag Pc MMB0055,,,0,50,0,,0.4,KG,No,,10,Bags
Girls Carry Bag Pc10010 ( Dark Pink ),,,0,50,0,,0.4,KG,No,,10,Bags
Girls Carry Bag-Pc 10008 Multicolor ( Hot Pink ),,,0,50,0,,0.4,KG,No,,10,Bags
Girls Carry Bag-Pc 10009 Multicolor ( Maroon ),,,0,50,0,,0.4,KG,No,,10,Bags
Multipurpose Holder Bag Pc 10011 ( Multi Coloured ),,,0,50,0,,0.4,KG,No,,10,Bags
Wallet Pc MMW001Black ( Black ),,,0,50,0,,0.4,KG,No,,10,Bags
Wallet Pc MMW003 Black ( Black ),,,0,50,0,,0.4,KG,No,,10,Bags
Wallet Pc MMW004 Black ( Black ),,,0,50,0,,0.4,KG,No,,10,Bags
Wallet Pc MMW005 Brown ( Brown ),,,0,50,0,,0.4,KG,No,,10,Bags
